date,Gold Price(24 Karat),Gold Price(22 Karat),Gold Price(18 Karat),Gold Price(14 Karat),Gold Price(10 Karat)
20-02-2023,4900,4492,3675,2858,2042
22-02-2023,4864,4458,3648,2837,2027
24-02-2023,4829,4427,3622,2817,2012
28-02-2023,4853,4449,3640,2831,2022
02-03-2023,4865,4460,3649,2838,2027
06-03-2023,4859,4454,3644,2834,2025
08-03-2023,4782,4384,3587,2790,1993
10-03-2023,4924,4514,3693,2872,2052
14-03-2023,5040,4620,3780,2940,2100
16-03-2023,5101,4676,3826,2976,2126
20-03-2023,5253,4815,3939,3064,2189
22-03-2023,5216,4782,3912,3043,2173
24-03-2023,5239,4802,3929,3056,2183
28-03-2023,5215,4780,3911,3042,2173
30-03-2023,5227,4792,3920,3049,2178
04-04-2023,5336,4891,4002,3113,2223
06-04-2023,5282,4842,3962,3081,2201
10-04-2023,5248,4810,3936,3061,2187
12-04-2023,5308,4865,3981,3096,2212
14-04-2023,5274,4835,3956,3077,2198
18-04-2023,5293,4852,3969,3087,2205
20-04-2023,5291,4850,3968,3086,2204
24-04-2023,5242,4806,3932,3058,2184
26-04-2023,5232,4796,3924,3052,2180
28-04-2023,5229,4794,3922,3050,2179
02-05-2023,5301,4859,3975,3092,2209
04-05-2023,5382,4934,4037,3140,2243
08-05-2023,5315,4872,3986,3100,2214
10-05-2023,5350,4904,4013,3121,2229
12-05-2023,5318,4875,3989,3102,2216
16-05-2023,5264,4826,3948,3071,2193
18-05-2023,5208,4774,3906,3038,2170
22-05-2023,5253,4815,3940,3064,2189
24-05-2023,5207,4773,3905,3037,2170
26-05-2023,5167,4737,3876,3014,2153
30-05-2023,5207,4773,3906,3038,2170
02-06-2023,5161,4731,3871,3011,2150
06-06-2023,5211,4777,3909,3040,2171
08-06-2023,5215,4780,3911,3042,2173
12-06-2023,5182,4750,3887,3023,2159
14-06-2023,5130,4703,3848,2993,2138
16-06-2023,5156,4726,3867,3007,2148
20-06-2023,5109,4683,3832,2980,2129
22-06-2023,5041,4621,3781,2941,2100
26-06-2023,5072,4650,3804,2959,2113
28-06-2023,5036,4617,3777,2938,2098
30-06-2023,5067,4644,3800,2955,2111
04-07-2023,5080,4656,3810,2963,2117
06-07-2023,5083,4659,3812,2965,2118
10-07-2023,5107,4681,3830,2979,2128
12-07-2023,5161,4731,3871,3011,2150
14-07-2023,5164,4734,3873,3013,2152
18-07-2023,5222,4787,3917,3046,2176
20-07-2023,5200,4767,3900,3033,2167
24-07-2023,5143,4714,3857,3000,2143
26-07-2023,5199,4766,3899,3033,2166
28-07-2023,5182,4750,3887,3023,2159
02-08-2023,5146,4717,3859,3002,2144
04-08-2023,5164,4734,3873,3012,2152
08-08-2023,5128,4701,3846,2991,2137
10-08-2023,5099,4674,3824,2974,2125
14-08-2023,5112,4686,3834,2982,2130
16-08-2023,5070,4648,3803,2958,2113
18-08-2023,5052,4631,3789,2947,2105
22-08-2023,5071,4648,3803,2958,2113
24-08-2023,5094,4669,3820,2971,2122
28-08-2023,5105,4680,3829,2978,2127
30-08-2023,5177,4745,3882,3020,2157
04-09-2023,5159,4729,3869,3010,2150
06-09-2023,5135,4707,3851,2995,2140
08-09-2023,5124,4697,3843,2989,2135
12-09-2023,5060,4638,3795,2952,2108
14-09-2023,5106,4680,3829,2978,2127
18-09-2023,5183,4751,3887,3023,2160
20-09-2023,5158,4728,3869,3009,2149
22-09-2023,5145,4716,3859,3001,2144
26-09-2023,5091,4666,3818,2970,2121
28-09-2023,4987,4571,3740,2909,2078
03-10-2023,4880,4473,3660,2847,2033
05-10-2023,4875,4469,3656,2844,2031
09-10-2023,4982,4566,3736,2906,2076
11-10-2023,5015,4597,3762,2926,2090
13-10-2023,5169,4739,3877,3015,2154
17-10-2023,5153,4724,3865,3006,2147
19-10-2023,5277,4837,3958,3078,2199
23-10-2023,5259,4821,3944,3068,2191
25-10-2023,5303,4861,3977,3093,2209
