Date,Gold Price(24 Karat),Gold Price(22 Karat),Gold Price(18 Karat),Gold Price(14 Karat),Gold Price(10 Karat)
4 Aug 2023,5164,4734,3873,3012,2152
8 Aug 2023,5128,4701,3846,2991,2137
10 Aug 2023,5099,4674,3824,2974,2125
14 Aug 2023,5112,4686,3834,2982,2130
16 Aug 2023,5070,4648,3803,2958,2113
18 Aug 2023,5052,4631,3789,2947,2105
22 Aug 2023,5071,4648,3803,2958,2113
24 Aug 2023,5094,4669,3820,2971,2122
28 Aug 2023,5105,4680,3829,2978,2127
30 Aug 2023,5177,4745,3882,3020,2157
4 Sep 2023,5159,4729,3869,3010,2150
6 Sep 2023,5135,4707,3851,2995,2140
8 Sep 2023,5124,4697,3843,2989,2135
12 Sep 2023,5060,4638,3795,2952,2108
14 Sep 2023,5106,4680,3829,2978,2127
18 Sep 2023,5183,4751,3887,3023,2160
20 Sep 2023,5158,4728,3869,3009,2149
22 Sep 2023,5145,4716,3859,3001,2144
26 Sep 2023,5091,4666,3818,2970,2121
28 Sep 2023,4987,4571,3740,2909,2078
3 Oct 2023,4880,4473,3660,2847,2033
5 Oct 2023,4875,4469,3656,2844,2031
9 Oct 2023,4982,4566,3736,2906,2076
11 Oct 2023,5015,4597,3762,2926,2090
13 Oct 2023,5169,4739,3877,3015,2154
17 Oct 2023,5153,4724,3865,3006,2147
19 Oct 2023,5277,4837,3958,3078,2199
23 Oct 2023,5259,4821,3944,3068,2191
25 Oct 2023,5303,4861,3977,3093,2209
27 Oct 2023,5382,4933,4036,3139,2242
31 Oct 2023,5314,4871,3985,3100,2214
2 Nov 2023,5319,4876,3989,3103,2216
6 Nov 2023,5292,4851,3969,3087,2205
8 Nov 2023,5220,4785,3915,3045,2175
10 Nov 2023,5190,4757,3892,3027,2162
14 Nov 2023,5240,4804,3930,3057,2183
16 Nov 2023,5298,4857,3974,3091,2208
20 Nov 2023,5305,4863,3979,3095,2211
22 Nov 2023,5335,4891,4001,3112,2223
24 Nov 2023,5364,4917,4023,3129,2235
28 Nov 2023,5475,5019,4106,3194,2281
30 Nov 2023,5465,5010,4099,3188,2277
4 Dec 2023,5447,4993,4085,3177,2269
6 Dec 2023,5430,4977,4072,3167,2262
8 Dec 2023,5377,4929,4033,3136,2240
12 Dec 2023,5312,4869,3984,3098,2213
14 Dec 2023,5457,5002,4093,3183,2274
18 Dec 2023,5416,4965,4062,3159,2257
20 Dec 2023,5440,4987,4080,3174,2267
22 Dec 2023,5501,5042,4125,3209,2292
26 Dec 2023,5526,5066,4145,3224,2303
28 Dec 2023,5508,5049,4131,3213,2295
4 Jan 2022,4347,3984,3260,2536,1811
6 Jan 2022,4286,3929,3215,2500,1786
10 Jan 2022,4289,3932,3217,2502,1787
12 Jan 2022,4331,3970,3248,2526,1805
14 Jan 2022,4333,3972,3250,2528,1805
18 Jan 2022,4353,3990,3265,2539,1814
20 Jan 2022,4401,4035,3301,2568,1834
24 Jan 2022,4424,4056,3318,2581,1843
26 Jan 2022,4395,4029,3296,2564,1831
28 Jan 2022,4321,3961,3241,2521,1801
2 Feb 2022,4348,3986,3261,2536,1812
4 Feb 2022,4339,3977,3254,2531,1808
8 Feb 2022,4385,4020,3289,2558,1827
10 Feb 2022,4437,4067,3328,2588,1849
14 Feb 2022,4553,4174,3415,2656,1897
16 Feb 2022,4506,4131,3380,2629,1878
18 Feb 2022,4556,4176,3417,2658,1898
22 Feb 2022,4554,4175,3416,2657,1898
24 Feb 2022,4622,4237,3467,2696,1926
28 Feb 2022,4614,4230,3461,2692,1923
2 Mar 2022,4688,4297,3516,2735,1953
4 Mar 2022,4841,4438,3631,2824,2017
8 Mar 2022,5055,4633,3791,2948,2106
10 Mar 2022,4896,4488,3672,2856,2040
14 Mar 2022,4801,4401,3601,2801,2001
16 Mar 2022,4710,4317,3532,2747,1962
18 Mar 2022,4692,4301,3519,2737,1955
22 Mar 2022,4700,4309,3525,2742,1959
24 Mar 2022,4808,4407,3606,2805,2003
28 Mar 2022,4704,4312,3528,2744,1960
30 Mar 2022,4715,4322,3536,2750,1965
4 Apr 2022,4687,4296,3515,2734,1953
6 Apr 2022,4698,4307,3524,2741,1958
8 Apr 2022,4754,4357,3565,2773,1981
12 Apr 2022,4813,4412,3610,2808,2006
14 Apr 2022,4841,4438,3631,2824,2017
18 Apr 2022,4849,4445,3637,2829,2021
20 Apr 2022,4799,4399,3599,2799,2000
22 Apr 2022,4749,4354,3562,2771,1979
26 Apr 2022,4707,4315,3531,2746,1961
28 Apr 2022,4668,4279,3501,2723,1945
3 May 2022,4594,4211,3445,2680,1914
5 May 2022,4614,4229,3460,2691,1922
9 May 2022,4613,4229,3460,2691,1922
11 May 2022,4615,4230,3461,2692,1923
13 May 2022,4512,4136,3384,2632,1880
17 May 2022,4514,4138,3386,2633,1881
19 May 2022,4586,4204,3439,2675,1911
23 May 2022,4619,4234,3464,2694,1925
25 May 2022,4615,4231,3461,2692,1923
27 May 2022,4629,4243,3472,2700,1929
31 May 2022,4584,4202,3438,2674,1910
2 Jun 2022,4651,4264,3488,2713,1938
6 Jun 2022,4607,4223,3455,2687,1920
8 Jun 2022,4633,4246,3474,2702,1930
10 Jun 2022,4703,4311,3527,2744,1960
14 Jun 2022,4532,4155,3399,2644,1888
