date,Gold Price(24 Karat),Gold Price(22 Karat),Gold Price(18 Karat),Gold Price(14 Karat),Gold Price(10 Karat),,,Gold Price(24 Karat),Gold Price(22 Karat),Gold Price(18 Karat),Gold Price(14 Karat),Gold Price(10 Karat)
1527638400,2824,2589,2118,1648,1177,,,"{date:1527638400,value:2824}","{date:1527638400,value:2589}","{date:1527638400,value:2118}","{date:1527638400,value:1648}","{date:1527638400,value:1177}"
1528070400,2785,2553,2089,1625,1160,,,"{date:1528070400,value:2785}","{date:1528070400,value:2553}","{date:1528070400,value:2089}","{date:1528070400,value:1625}","{date:1528070400,value:1160}"
1528243200,2788,2556,2091,1626,1162,,,"{date:1528243200,value:2788}","{date:1528243200,value:2556}","{date:1528243200,value:2091}","{date:1528243200,value:1626}","{date:1528243200,value:1162}"
1528416000,2819,2584,2114,1644,1175,,,"{date:1528416000,value:2819}","{date:1528416000,value:2584}","{date:1528416000,value:2114}","{date:1528416000,value:1644}","{date:1528416000,value:1175}"
1528761600,2811,2577,2108,1640,1171,,,"{date:1528761600,value:2811}","{date:1528761600,value:2577}","{date:1528761600,value:2108}","{date:1528761600,value:1640}","{date:1528761600,value:1171}"
1528934400,2842,2605,2131,1658,1184,,,"{date:1528934400,value:2842}","{date:1528934400,value:2605}","{date:1528934400,value:2131}","{date:1528934400,value:1658}","{date:1528934400,value:1184}"
1529280000,2805,2571,2104,1636,1169,,,"{date:1529280000,value:2805}","{date:1529280000,value:2571}","{date:1529280000,value:2104}","{date:1529280000,value:1636}","{date:1529280000,value:1169}"
1529452800,2778,2547,2084,1621,1158,,,"{date:1529452800,value:2778}","{date:1529452800,value:2547}","{date:1529452800,value:2084}","{date:1529452800,value:1621}","{date:1529452800,value:1158}"
1529625600,2770,2539,2077,1616,1154,,,"{date:1529625600,value:2770}","{date:1529625600,value:2539}","{date:1529625600,value:2077}","{date:1529625600,value:1616}","{date:1529625600,value:1154}"
1529971200,2766,2536,2075,1614,1153,,,"{date:1529971200,value:2766}","{date:1529971200,value:2536}","{date:1529971200,value:2075}","{date:1529971200,value:1614}","{date:1529971200,value:1153}"
1530144000,2762,2532,2072,1611,1151,,,"{date:1530144000,value:2762}","{date:1530144000,value:2532}","{date:1530144000,value:2072}","{date:1530144000,value:1611}","{date:1530144000,value:1151}"
1530576000,2766,2535,2074,1613,1152,,,"{date:1530576000,value:2766}","{date:1530576000,value:2535}","{date:1530576000,value:2074}","{date:1530576000,value:1613}","{date:1530576000,value:1152}"
1530748800,2785,2552,2088,1624,1160,,,"{date:1530748800,value:2785}","{date:1530748800,value:2552}","{date:1530748800,value:2088}","{date:1530748800,value:1624}","{date:1530748800,value:1160}"
1531094400,2778,2547,2084,1621,1158,,,"{date:1531094400,value:2778}","{date:1531094400,value:2547}","{date:1531094400,value:2084}","{date:1531094400,value:1621}","{date:1531094400,value:1158}"
1531267200,2746,2517,2060,1602,1144,,,"{date:1531267200,value:2746}","{date:1531267200,value:2517}","{date:1531267200,value:2060}","{date:1531267200,value:1602}","{date:1531267200,value:1144}"
1531440000,2734,2506,2051,1595,1139,,,"{date:1531440000,value:2734}","{date:1531440000,value:2506}","{date:1531440000,value:2051}","{date:1531440000,value:1595}","{date:1531440000,value:1139}"
1531785600,2697,2473,2023,1574,1124,,,"{date:1531785600,value:2697}","{date:1531785600,value:2473}","{date:1531785600,value:2023}","{date:1531785600,value:1574}","{date:1531785600,value:1124}"
1531958400,2712,2486,2034,1582,1130,,,"{date:1531958400,value:2712}","{date:1531958400,value:2486}","{date:1531958400,value:2034}","{date:1531958400,value:1582}","{date:1531958400,value:1130}"
1532304000,2714,2488,2035,1583,1131,,,"{date:1532304000,value:2714}","{date:1532304000,value:2488}","{date:1532304000,value:2035}","{date:1532304000,value:1583}","{date:1532304000,value:1131}"
1532476800,2730,2503,2048,1593,1138,,,"{date:1532476800,value:2730}","{date:1532476800,value:2503}","{date:1532476800,value:2048}","{date:1532476800,value:1593}","{date:1532476800,value:1138}"
1532649600,2698,2473,2024,1574,1124,,,"{date:1532649600,value:2698}","{date:1532649600,value:2473}","{date:1532649600,value:2024}","{date:1532649600,value:1574}","{date:1532649600,value:1124}"
1532995200,2696,2472,2022,1573,1124,,,"{date:1532995200,value:2696}","{date:1532995200,value:2472}","{date:1532995200,value:2022}","{date:1532995200,value:1573}","{date:1532995200,value:1124}"
1533168000,2664,2442,1998,1554,1110,,,"{date:1533168000,value:2664}","{date:1533168000,value:2442}","{date:1533168000,value:1998}","{date:1533168000,value:1554}","{date:1533168000,value:1110}"
1533513600,2674,2451,2006,1560,1114,,,"{date:1533513600,value:2674}","{date:1533513600,value:2451}","{date:1533513600,value:2006}","{date:1533513600,value:1560}","{date:1533513600,value:1114}"
1533686400,2671,2448,2003,1558,1113,,,"{date:1533686400,value:2671}","{date:1533686400,value:2448}","{date:1533686400,value:2003}","{date:1533686400,value:1558}","{date:1533686400,value:1113}"
1533859200,2691,2467,2018,1570,1121,,,"{date:1533859200,value:2691}","{date:1533859200,value:2467}","{date:1533859200,value:2018}","{date:1533859200,value:1570}","{date:1533859200,value:1121}"
1534204800,2686,2462,2014,1567,1119,,,"{date:1534204800,value:2686}","{date:1534204800,value:2462}","{date:1534204800,value:2014}","{date:1534204800,value:1567}","{date:1534204800,value:1119}"
1534377600,2672,2450,2004,1559,1113,,,"{date:1534377600,value:2672}","{date:1534377600,value:2450}","{date:1534377600,value:2004}","{date:1534377600,value:1559}","{date:1534377600,value:1113}"
1534723200,2672,2449,2004,1559,1113,,,"{date:1534723200,value:2672}","{date:1534723200,value:2449}","{date:1534723200,value:2004}","{date:1534723200,value:1559}","{date:1534723200,value:1113}"
1534896000,2682,2458,2011,1564,1117,,,"{date:1534896000,value:2682}","{date:1534896000,value:2458}","{date:1534896000,value:2011}","{date:1534896000,value:1564}","{date:1534896000,value:1117}"
1535068800,2706,2480,2029,1578,1127,,,"{date:1535068800,value:2706}","{date:1535068800,value:2480}","{date:1535068800,value:2029}","{date:1535068800,value:1578}","{date:1535068800,value:1127}"
1535414400,2717,2491,2038,1585,1132,,,"{date:1535414400,value:2717}","{date:1535414400,value:2491}","{date:1535414400,value:2038}","{date:1535414400,value:1585}","{date:1535414400,value:1132}"
1535587200,2742,2513,2056,1599,1142,,,"{date:1535587200,value:2742}","{date:1535587200,value:2513}","{date:1535587200,value:2056}","{date:1535587200,value:1599}","{date:1535587200,value:1142}"
1536019200,2744,2515,2058,1601,1143,,,"{date:1536019200,value:2744}","{date:1536019200,value:2515}","{date:1536019200,value:2058}","{date:1536019200,value:1601}","{date:1536019200,value:1143}"
1536192000,2779,2547,2084,1621,1158,,,"{date:1536192000,value:2779}","{date:1536192000,value:2547}","{date:1536192000,value:2084}","{date:1536192000,value:1621}","{date:1536192000,value:1158}"
1536537600,2789,2556,2092,1627,1162,,,"{date:1536537600,value:2789}","{date:1536537600,value:2556}","{date:1536537600,value:2092}","{date:1536537600,value:1627}","{date:1536537600,value:1162}"
1536710400,2790,2557,2092,1627,1162,,,"{date:1536710400,value:2790}","{date:1536710400,value:2557}","{date:1536710400,value:2092}","{date:1536710400,value:1627}","{date:1536710400,value:1162}"
1536883200,2767,2536,2075,1614,1153,,,"{date:1536883200,value:2767}","{date:1536883200,value:2536}","{date:1536883200,value:2075}","{date:1536883200,value:1614}","{date:1536883200,value:1153}"
1537228800,2810,2576,2107,1639,1171,,,"{date:1537228800,value:2810}","{date:1537228800,value:2576}","{date:1537228800,value:2107}","{date:1537228800,value:1639}","{date:1537228800,value:1171}"
1537401600,2784,2552,2088,1624,1160,,,"{date:1537401600,value:2784}","{date:1537401600,value:2552}","{date:1537401600,value:2088}","{date:1537401600,value:1624}","{date:1537401600,value:1160}"
1537747200,2803,2569,2102,1635,1168,,,"{date:1537747200,value:2803}","{date:1537747200,value:2569}","{date:1537747200,value:2102}","{date:1537747200,value:1635}","{date:1537747200,value:1168}"
1537920000,2786,2554,2089,1625,1161,,,"{date:1537920000,value:2786}","{date:1537920000,value:2554}","{date:1537920000,value:2089}","{date:1537920000,value:1625}","{date:1537920000,value:1161}"
1538438400,2842,2605,2132,1658,1184,,,"{date:1538438400,value:2842}","{date:1538438400,value:2605}","{date:1538438400,value:2132}","{date:1538438400,value:1658}","{date:1538438400,value:1184}"
1538611200,2839,2602,2129,1656,1183,,,"{date:1538611200,value:2839}","{date:1538611200,value:2602}","{date:1538611200,value:2129}","{date:1538611200,value:1656}","{date:1538611200,value:1183}"
1538956800,2828,2593,2121,1650,1178,,,"{date:1538956800,value:2828}","{date:1538956800,value:2593}","{date:1538956800,value:2121}","{date:1538956800,value:1650}","{date:1538956800,value:1178}"
1539129600,2851,2613,2138,1663,1188,,,"{date:1539129600,value:2851}","{date:1539129600,value:2613}","{date:1539129600,value:2138}","{date:1539129600,value:1663}","{date:1539129600,value:1188}"
1539302400,2886,2645,2164,1683,1202,,,"{date:1539302400,value:2886}","{date:1539302400,value:2645}","{date:1539302400,value:2164}","{date:1539302400,value:1683}","{date:1539302400,value:1202}"
1539648000,2893,2652,2170,1688,1206,,,"{date:1539648000,value:2893}","{date:1539648000,value:2652}","{date:1539648000,value:2170}","{date:1539648000,value:1688}","{date:1539648000,value:1206}"
1539820800,2898,2656,2173,1690,1207,,,"{date:1539820800,value:2898}","{date:1539820800,value:2656}","{date:1539820800,value:2173}","{date:1539820800,value:1690}","{date:1539820800,value:1207}"
1540166400,2896,2655,2172,1690,1207,,,"{date:1540166400,value:2896}","{date:1540166400,value:2655}","{date:1540166400,value:2172}","{date:1540166400,value:1690}","{date:1540166400,value:1207}"
1540339200,2908,2666,2181,1696,1212,,,"{date:1540339200,value:2908}","{date:1540339200,value:2666}","{date:1540339200,value:2181}","{date:1540339200,value:1696}","{date:1540339200,value:1212}"
1540512000,2900,2659,2175,1692,1209,,,"{date:1540512000,value:2900}","{date:1540512000,value:2659}","{date:1540512000,value:2175}","{date:1540512000,value:1692}","{date:1540512000,value:1209}"
1540857600,2895,2654,2172,1689,1206,,,"{date:1540857600,value:2895}","{date:1540857600,value:2654}","{date:1540857600,value:2172}","{date:1540857600,value:1689}","{date:1540857600,value:1206}"
1541116800,2891,2650,2168,1686,1204,,,"{date:1541116800,value:2891}","{date:1541116800,value:2650}","{date:1541116800,value:2168}","{date:1541116800,value:1686}","{date:1541116800,value:1204}"
1541462400,2885,2645,2164,1683,1202,,,"{date:1541462400,value:2885}","{date:1541462400,value:2645}","{date:1541462400,value:2164}","{date:1541462400,value:1683}","{date:1541462400,value:1202}"
1541635200,2867,2628,2150,1673,1195,,,"{date:1541635200,value:2867}","{date:1541635200,value:2628}","{date:1541635200,value:2150}","{date:1541635200,value:1673}","{date:1541635200,value:1195}"
1541980800,2819,2584,2114,1644,1175,,,"{date:1541980800,value:2819}","{date:1541980800,value:2584}","{date:1541980800,value:2114}","{date:1541980800,value:1644}","{date:1541980800,value:1175}"
1542153600,2818,2584,2114,1644,1174,,,"{date:1542153600,value:2818}","{date:1542153600,value:2584}","{date:1542153600,value:2114}","{date:1542153600,value:1644}","{date:1542153600,value:1174}"
1542326400,2819,2584,2114,1644,1174,,,"{date:1542326400,value:2819}","{date:1542326400,value:2584}","{date:1542326400,value:2114}","{date:1542326400,value:1644}","{date:1542326400,value:1174}"
1542672000,2806,2572,2104,1637,1169,,,"{date:1542672000,value:2806}","{date:1542672000,value:2572}","{date:1542672000,value:2104}","{date:1542672000,value:1637}","{date:1542672000,value:1169}"
1542844800,2796,2563,2097,1631,1165,,,"{date:1542844800,value:2796}","{date:1542844800,value:2563}","{date:1542844800,value:2097}","{date:1542844800,value:1631}","{date:1542844800,value:1165}"
1543190400,2784,2552,2088,1624,1160,,,"{date:1543190400,value:2784}","{date:1543190400,value:2552}","{date:1543190400,value:2088}","{date:1543190400,value:1624}","{date:1543190400,value:1160}"
1543363200,2772,2541,2079,1617,1155,,,"{date:1543363200,value:2772}","{date:1543363200,value:2541}","{date:1543363200,value:2079}","{date:1543363200,value:1617}","{date:1543363200,value:1155}"
1543536000,2740,2512,2055,1598,1142,,,"{date:1543536000,value:2740}","{date:1543536000,value:2512}","{date:1543536000,value:2055}","{date:1543536000,value:1598}","{date:1543536000,value:1142}"
1543881600,2814,2579,2110,1641,1172,,,"{date:1543881600,value:2814}","{date:1543881600,value:2579}","{date:1543881600,value:2110}","{date:1543881600,value:1641}","{date:1543881600,value:1172}"
1544054400,2808,2574,2106,1638,1170,,,"{date:1544054400,value:2808}","{date:1544054400,value:2574}","{date:1544054400,value:2106}","{date:1544054400,value:1638}","{date:1544054400,value:1170}"
1544400000,2901,2659,2176,1692,1209,,,"{date:1544400000,value:2901}","{date:1544400000,value:2659}","{date:1544400000,value:2176}","{date:1544400000,value:1692}","{date:1544400000,value:1209}"
1544572800,2878,2638,2159,1679,1199,,,"{date:1544572800,value:2878}","{date:1544572800,value:2638}","{date:1544572800,value:2159}","{date:1544572800,value:1679}","{date:1544572800,value:1199}"
1544745600,2866,2627,2149,1672,1194,,,"{date:1544745600,value:2866}","{date:1544745600,value:2627}","{date:1544745600,value:2149}","{date:1544745600,value:1672}","{date:1544745600,value:1194}"
1545091200,2832,2596,2124,1652,1180,,,"{date:1545091200,value:2832}","{date:1545091200,value:2596}","{date:1545091200,value:2124}","{date:1545091200,value:1652}","{date:1545091200,value:1180}"
1545264000,2844,2607,2133,1659,1185,,,"{date:1545264000,value:2844}","{date:1545264000,value:2607}","{date:1545264000,value:2133}","{date:1545264000,value:1659}","{date:1545264000,value:1185}"
1545609600,2861,2623,2146,1669,1192,,,"{date:1545609600,value:2861}","{date:1545609600,value:2623}","{date:1545609600,value:2146}","{date:1545609600,value:1669}","{date:1545609600,value:1192}"
1545782400,2863,2624,2147,1670,1193,,,"{date:1545782400,value:2863}","{date:1545782400,value:2624}","{date:1545782400,value:2147}","{date:1545782400,value:1670}","{date:1545782400,value:1193}"
1545955200,2879,2640,2160,1680,1200,,,"{date:1545955200,value:2879}","{date:1545955200,value:2640}","{date:1545955200,value:2160}","{date:1545955200,value:1680}","{date:1545955200,value:1200}"
1483401600,2540,2329,1905,1482,1058,,,"{date:1483401600,value:2540}","{date:1483401600,value:2329}","{date:1483401600,value:1905}","{date:1483401600,value:1482}","{date:1483401600,value:1058}"
1483574400,2572,2358,1929,1500,1072,,,"{date:1483574400,value:2572}","{date:1483574400,value:2358}","{date:1483574400,value:1929}","{date:1483574400,value:1500}","{date:1483574400,value:1072}"
1483920000,2590,2374,1942,1511,1079,,,"{date:1483920000,value:2590}","{date:1483920000,value:2374}","{date:1483920000,value:1942}","{date:1483920000,value:1511}","{date:1483920000,value:1079}"
1484092800,2616,2398,1962,1526,1090,,,"{date:1484092800,value:2616}","{date:1484092800,value:2398}","{date:1484092800,value:1962}","{date:1484092800,value:1526}","{date:1484092800,value:1090}"
1484265600,2624,2405,1968,1531,1093,,,"{date:1484265600,value:2624}","{date:1484265600,value:2405}","{date:1484265600,value:1968}","{date:1484265600,value:1531}","{date:1484265600,value:1093}"
1484611200,2653,2432,1990,1548,1106,,,"{date:1484611200,value:2653}","{date:1484611200,value:2432}","{date:1484611200,value:1990}","{date:1484611200,value:1548}","{date:1484611200,value:1106}"
1484784000,2635,2416,1977,1537,1098,,,"{date:1484784000,value:2635}","{date:1484784000,value:2416}","{date:1484784000,value:1977}","{date:1484784000,value:1537}","{date:1484784000,value:1098}"
1485129600,2664,2442,1998,1554,1110,,,"{date:1485129600,value:2664}","{date:1485129600,value:2442}","{date:1485129600,value:1998}","{date:1485129600,value:1554}","{date:1485129600,value:1110}"
1485302400,2625,2406,1968,1531,1094,,,"{date:1485302400,value:2625}","{date:1485302400,value:2406}","{date:1485302400,value:1968}","{date:1485302400,value:1531}","{date:1485302400,value:1094}"
1485475200,2608,2391,1956,1521,1087,,,"{date:1485475200,value:2608}","{date:1485475200,value:2391}","{date:1485475200,value:1956}","{date:1485475200,value:1521}","{date:1485475200,value:1087}"
1485820800,2631,2411,1973,1535,1096,,,"{date:1485820800,value:2631}","{date:1485820800,value:2411}","{date:1485820800,value:1973}","{date:1485820800,value:1535}","{date:1485820800,value:1096}"
1485993600,2628,2409,1971,1533,1095,,,"{date:1485993600,value:2628}","{date:1485993600,value:2409}","{date:1485993600,value:1971}","{date:1485993600,value:1533}","{date:1485993600,value:1095}"
1486339200,2665,2443,1999,1555,1110,,,"{date:1486339200,value:2665}","{date:1486339200,value:2443}","{date:1486339200,value:1999}","{date:1486339200,value:1555}","{date:1486339200,value:1110}"
1486512000,2670,2448,2003,1558,1113,,,"{date:1486512000,value:2670}","{date:1486512000,value:2448}","{date:1486512000,value:2003}","{date:1486512000,value:1558}","{date:1486512000,value:1113}"
1486684800,2650,2429,1987,1546,1104,,,"{date:1486684800,value:2650}","{date:1486684800,value:2429}","{date:1486684800,value:1987}","{date:1486684800,value:1546}","{date:1486684800,value:1104}"
1487030400,2638,2418,1979,1539,1099,,,"{date:1487030400,value:2638}","{date:1487030400,value:2418}","{date:1487030400,value:1979}","{date:1487030400,value:1539}","{date:1487030400,value:1099}"
1487203200,2675,2452,2006,1560,1115,,,"{date:1487203200,value:2675}","{date:1487203200,value:2452}","{date:1487203200,value:2006}","{date:1487203200,value:1560}","{date:1487203200,value:1115}"
1487548800,2664,2442,1998,1554,1110,,,"{date:1487548800,value:2664}","{date:1487548800,value:2442}","{date:1487548800,value:1998}","{date:1487548800,value:1554}","{date:1487548800,value:1110}"
1487721600,2662,2440,1996,1553,1109,,,"{date:1487721600,value:2662}","{date:1487721600,value:2440}","{date:1487721600,value:1996}","{date:1487721600,value:1553}","{date:1487721600,value:1109}"
1487894400,2696,2472,2022,1573,1124,,,"{date:1487894400,value:2696}","{date:1487894400,value:2472}","{date:1487894400,value:2022}","{date:1487894400,value:1573}","{date:1487894400,value:1124}"
1488240000,2673,2450,2005,1559,1114,,,"{date:1488240000,value:2673}","{date:1488240000,value:2450}","{date:1488240000,value:2005}","{date:1488240000,value:1559}","{date:1488240000,value:1114}"
1488412800,2655,2434,1992,1549,1106,,,"{date:1488412800,value:2655}","{date:1488412800,value:2434}","{date:1488412800,value:1992}","{date:1488412800,value:1549}","{date:1488412800,value:1106}"
1488758400,2628,2409,1971,1533,1095,,,"{date:1488758400,value:2628}","{date:1488758400,value:2409}","{date:1488758400,value:1971}","{date:1488758400,value:1533}","{date:1488758400,value:1095}"
1488931200,2594,2378,1946,1513,1081,,,"{date:1488931200,value:2594}","{date:1488931200,value:2378}","{date:1488931200,value:1946}","{date:1488931200,value:1513}","{date:1488931200,value:1081}"
1489104000,2575,2360,1931,1502,1073,,,"{date:1489104000,value:2575}","{date:1489104000,value:2360}","{date:1489104000,value:1931}","{date:1489104000,value:1502}","{date:1489104000,value:1073}"
1489449600,2539,2327,1904,1481,1058,,,"{date:1489449600,value:2539}","{date:1489449600,value:2327}","{date:1489449600,value:1904}","{date:1489449600,value:1481}","{date:1489449600,value:1058}"
1489622400,2580,2365,1935,1505,1075,,,"{date:1489622400,value:2580}","{date:1489622400,value:2365}","{date:1489622400,value:1935}","{date:1489622400,value:1505}","{date:1489622400,value:1075}"
1489968000,2594,2378,1945,1513,1081,,,"{date:1489968000,value:2594}","{date:1489968000,value:2378}","{date:1489968000,value:1945}","{date:1489968000,value:1513}","{date:1489968000,value:1081}"
1490140800,2620,2402,1965,1529,1092,,,"{date:1490140800,value:2620}","{date:1490140800,value:2402}","{date:1490140800,value:1965}","{date:1490140800,value:1529}","{date:1490140800,value:1092}"
1490313600,2618,2400,1963,1527,1091,,,"{date:1490313600,value:2618}","{date:1490313600,value:2400}","{date:1490313600,value:1963}","{date:1490313600,value:1527}","{date:1490313600,value:1091}"
1490659200,2618,2400,1964,1527,1091,,,"{date:1490659200,value:2618}","{date:1490659200,value:2400}","{date:1490659200,value:1964}","{date:1490659200,value:1527}","{date:1490659200,value:1091}"
1490832000,2592,2376,1944,1512,1080,,,"{date:1490832000,value:2592}","{date:1490832000,value:2376}","{date:1490832000,value:1944}","{date:1490832000,value:1512}","{date:1490832000,value:1080}"
1491264000,2628,2409,1971,1533,1095,,,"{date:1491264000,value:2628}","{date:1491264000,value:2409}","{date:1491264000,value:1971}","{date:1491264000,value:1533}","{date:1491264000,value:1095}"
1491436800,2600,2383,1950,1517,1083,,,"{date:1491436800,value:2600}","{date:1491436800,value:2383}","{date:1491436800,value:1950}","{date:1491436800,value:1517}","{date:1491436800,value:1083}"
1491782400,2608,2391,1956,1521,1087,,,"{date:1491782400,value:2608}","{date:1491782400,value:2391}","{date:1491782400,value:1956}","{date:1491782400,value:1521}","{date:1491782400,value:1087}"
1491955200,2671,2449,2004,1558,1113,,,"{date:1491955200,value:2671}","{date:1491955200,value:2449}","{date:1491955200,value:2004}","{date:1491955200,value:1558}","{date:1491955200,value:1113}"
1492128000,2662,2441,1997,1553,1109,,,"{date:1492128000,value:2662}","{date:1492128000,value:2441}","{date:1492128000,value:1997}","{date:1492128000,value:1553}","{date:1492128000,value:1109}"
1492473600,2678,2455,2009,1562,1116,,,"{date:1492473600,value:2678}","{date:1492473600,value:2455}","{date:1492473600,value:2009}","{date:1492473600,value:1562}","{date:1492473600,value:1116}"
1492646400,2665,2443,1999,1555,1111,,,"{date:1492646400,value:2665}","{date:1492646400,value:2443}","{date:1492646400,value:1999}","{date:1492646400,value:1555}","{date:1492646400,value:1111}"
1492992000,2646,2426,1985,1544,1103,,,"{date:1492992000,value:2646}","{date:1492992000,value:2426}","{date:1492992000,value:1985}","{date:1492992000,value:1544}","{date:1492992000,value:1103}"
1493164800,2610,2393,1958,1523,1088,,,"{date:1493164800,value:2610}","{date:1493164800,value:2393}","{date:1493164800,value:1958}","{date:1493164800,value:1523}","{date:1493164800,value:1088}"
1493337600,2619,2401,1965,1528,1091,,,"{date:1493337600,value:2619}","{date:1493337600,value:2401}","{date:1493337600,value:1965}","{date:1493337600,value:1528}","{date:1493337600,value:1091}"
1493683200,2590,2374,1943,1511,1079,,,"{date:1493683200,value:2590}","{date:1493683200,value:2374}","{date:1493683200,value:1943}","{date:1493683200,value:1511}","{date:1493683200,value:1079}"
1493856000,2536,2325,1902,1479,1057,,,"{date:1493856000,value:2536}","{date:1493856000,value:2325}","{date:1493856000,value:1902}","{date:1493856000,value:1479}","{date:1493856000,value:1057}"
1494201600,2543,2331,1907,1483,1059,,,"{date:1494201600,value:2543}","{date:1494201600,value:2331}","{date:1494201600,value:1907}","{date:1494201600,value:1483}","{date:1494201600,value:1059}"
1494374400,2529,2319,1897,1475,1054,,,"{date:1494374400,value:2529}","{date:1494374400,value:2319}","{date:1494374400,value:1897}","{date:1494374400,value:1475}","{date:1494374400,value:1054}"
1494547200,2535,2324,1902,1479,1056,,,"{date:1494547200,value:2535}","{date:1494547200,value:2324}","{date:1494547200,value:1902}","{date:1494547200,value:1479}","{date:1494547200,value:1056}"
1494892800,2559,2346,1919,1493,1066,,,"{date:1494892800,value:2559}","{date:1494892800,value:2346}","{date:1494892800,value:1919}","{date:1494892800,value:1493}","{date:1494892800,value:1066}"
1495065600,2605,2388,1954,1520,1085,,,"{date:1495065600,value:2605}","{date:1495065600,value:2388}","{date:1495065600,value:1954}","{date:1495065600,value:1520}","{date:1495065600,value:1085}"
1495411200,2620,2402,1965,1528,1092,,,"{date:1495411200,value:2620}","{date:1495411200,value:2402}","{date:1495411200,value:1965}","{date:1495411200,value:1528}","{date:1495411200,value:1092}"
1495584000,2620,2401,1965,1528,1091,,,"{date:1495584000,value:2620}","{date:1495584000,value:2401}","{date:1495584000,value:1965}","{date:1495584000,value:1528}","{date:1495584000,value:1091}"
1495756800,2629,2410,1972,1533,1095,,,"{date:1495756800,value:2629}","{date:1495756800,value:2410}","{date:1495756800,value:1972}","{date:1495756800,value:1533}","{date:1495756800,value:1095}"
1496102400,2623,2405,1967,1530,1093,,,"{date:1496102400,value:2623}","{date:1496102400,value:2405}","{date:1496102400,value:1967}","{date:1496102400,value:1530}","{date:1496102400,value:1093}"
1496361600,2642,2422,1982,1541,1101,,,"{date:1496361600,value:2642}","{date:1496361600,value:2422}","{date:1496361600,value:1982}","{date:1496361600,value:1541}","{date:1496361600,value:1101}"
1496707200,2680,2457,2010,1563,1117,,,"{date:1496707200,value:2680}","{date:1496707200,value:2457}","{date:1496707200,value:2010}","{date:1496707200,value:1563}","{date:1496707200,value:1117}"
1496880000,2645,2424,1984,1543,1102,,,"{date:1496880000,value:2645}","{date:1496880000,value:2424}","{date:1496880000,value:1984}","{date:1496880000,value:1543}","{date:1496880000,value:1102}"
1497225600,2623,2404,1967,1530,1093,,,"{date:1497225600,value:2623}","{date:1497225600,value:2404}","{date:1497225600,value:1967}","{date:1497225600,value:1530}","{date:1497225600,value:1093}"
1497398400,2607,2390,1955,1521,1086,,,"{date:1497398400,value:2607}","{date:1497398400,value:2390}","{date:1497398400,value:1955}","{date:1497398400,value:1521}","{date:1497398400,value:1086}"
1497571200,2596,2380,1947,1514,1082,,,"{date:1497571200,value:2596}","{date:1497571200,value:2380}","{date:1497571200,value:1947}","{date:1497571200,value:1514}","{date:1497571200,value:1082}"
1497916800,2588,2372,1941,1510,1078,,,"{date:1497916800,value:2588}","{date:1497916800,value:2372}","{date:1497916800,value:1941}","{date:1497916800,value:1510}","{date:1497916800,value:1078}"
1498089600,2599,2382,1949,1516,1083,,,"{date:1498089600,value:2599}","{date:1498089600,value:2382}","{date:1498089600,value:1949}","{date:1498089600,value:1516}","{date:1498089600,value:1083}"
1498435200,2575,2361,1932,1502,1073,,,"{date:1498435200,value:2575}","{date:1498435200,value:2361}","{date:1498435200,value:1932}","{date:1498435200,value:1502}","{date:1498435200,value:1073}"
1498608000,2593,2377,1945,1512,1080,,,"{date:1498608000,value:2593}","{date:1498608000,value:2377}","{date:1498608000,value:1945}","{date:1498608000,value:1512}","{date:1498608000,value:1080}"
1498780800,2579,2364,1934,1505,1075,,,"{date:1498780800,value:2579}","{date:1498780800,value:2364}","{date:1498780800,value:1934}","{date:1498780800,value:1505}","{date:1498780800,value:1075}"
1499126400,2555,2342,1916,1490,1065,,,"{date:1499126400,value:2555}","{date:1499126400,value:2342}","{date:1499126400,value:1916}","{date:1499126400,value:1490}","{date:1499126400,value:1065}"
1499299200,2546,2333,1909,1485,1061,,,"{date:1499299200,value:2546}","{date:1499299200,value:2333}","{date:1499299200,value:1909}","{date:1499299200,value:1485}","{date:1499299200,value:1061}"
1499644800,2516,2306,1887,1468,1048,,,"{date:1499644800,value:2516}","{date:1499644800,value:2306}","{date:1499644800,value:1887}","{date:1499644800,value:1468}","{date:1499644800,value:1048}"
1499817600,2523,2313,1893,1472,1051,,,"{date:1499817600,value:2523}","{date:1499817600,value:2313}","{date:1499817600,value:1893}","{date:1499817600,value:1472}","{date:1499817600,value:1051}"
1499990400,2540,2328,1905,1482,1058,,,"{date:1499990400,value:2540}","{date:1499990400,value:2328}","{date:1499990400,value:1905}","{date:1499990400,value:1482}","{date:1499990400,value:1058}"
1500336000,2570,2356,1927,1499,1071,,,"{date:1500336000,value:2570}","{date:1500336000,value:2356}","{date:1500336000,value:1927}","{date:1500336000,value:1499}","{date:1500336000,value:1071}"
1500508800,2573,2359,1930,1501,1072,,,"{date:1500508800,value:2573}","{date:1500508800,value:2359}","{date:1500508800,value:1930}","{date:1500508800,value:1501}","{date:1500508800,value:1072}"
1500854400,2595,2379,1946,1514,1081,,,"{date:1500854400,value:2595}","{date:1500854400,value:2379}","{date:1500854400,value:1946}","{date:1500854400,value:1514}","{date:1500854400,value:1081}"
1501027200,2608,2390,1956,1521,1087,,,"{date:1501027200,value:2608}","{date:1501027200,value:2390}","{date:1501027200,value:1956}","{date:1501027200,value:1521}","{date:1501027200,value:1087}"
